slide,pos,cov
280120-35,6,31.282425491898145
280120-35,7,34.60619212962963
280120-35,8,31.69062861689815
280120-35,9,27.418800636574076
280120-36,0,28.509168836805554
280120-36,1,26.297218605324073
280120-36,2,27.697265625
280120-36,3,26.19071903935185
280120-36,4,28.36740451388889
280120-36,5,26.72195095486111
280120-36,6,24.911982783564817
280120-36,7,29.62568721064815
280120-36,8,29.245225694444443
280120-36,9,23.298683449074073
280120-38,0,31.973741319444443
280120-38,1,31.10747612847222
280120-38,2,26.86297381365741
280120-38,3,26.742874710648145
280120-38,4,29.809172453703702
280120-38,5,29.28369140625
280120-38,6,32.27546296296296
280120-38,7,30.69793475115741
280120-38,8,31.389775028935183
280120-38,9,27.647370515046298
280120-39,0,26.11767578125
280120-39,1,31.511013454861107
280120-39,2,31.52143012152778
280120-39,3,28.86082175925926
280120-39,4,28.114818431712962
280120-39,5,26.37943070023148
280120-39,6,28.917371961805554
280120-39,7,30.756890190972225
280120-39,8,30.86847149884259
280120-39,9,31.64972149884259
280120-40,0,35.61261212384259
280120-40,1,34.940266927083336
280120-40,2,34.75059678819444
280120-40,3,35.437210648148145
280120-40,4,34.21193214699074
280120-40,5,31.99555121527778
280120-40,6,33.755696614583336
280120-40,7,34.291702835648145
280120-40,8,32.18305121527778
280120-40,9,27.08472583912037
280120-41,0,22.077003761574073
280120-41,1,23.47480830439815
280120-41,2,26.094690393518515
