alpha,slide,pos,recall
0.2,101017-17,1,63.95348837209303
0.2,101017-18,0,41.509433962264154
0.2,101017-19,1,70.34482758620689
0.2,101017-21,1,59.42028985507246
0.2,101017-24,1,69.61325966850829
0.2,101017-26,0,82.80254777070064
0.25,080119-07,1,55.111111111111114
0.25,080119-10,1,54.47761194029851
0.25,080119-25,0,76.66666666666667
0.25,080119-39,1,67.9245283018868
0.25,080119-44,1,54.054054054054056
0.25,080119-45,1,30.36649214659686
0.25,080119-46,1,27.67857142857143
0.25,080119-47,0,67.35751295336787
0.25,080119-48,0,62.82722513089005
0.25,080119-49,0,44.44444444444444
0.25,080119-55,1,52.816901408450704
0.25,101017-04,0,76.92307692307693
0.25,101017-07,1,48.9010989010989
0.25,101017-09,1,61.016949152542374
0.25,101017-11,1,59.30232558139535
0.25,101017-12,1,33.84615384615385
0.25,101017-15,0,65.9090909090909
0.25,101017-16,0,80.58823529411765
0.25,101017-17,1,62.2093023255814
0.25,101017-18,0,39.62264150943396
0.25,101017-19,1,66.89655172413794
0.25,101017-21,1,44.927536231884055
0.25,101017-24,1,51.38121546961326
0.25,101017-26,0,81.52866242038218
0.3,080119-07,1,47.11111111111111
0.3,080119-10,1,54.47761194029851
0.3,080119-25,0,75.23809523809524
0.3,080119-39,1,66.66666666666666
0.3,080119-44,1,51.35135135135135
0.3,080119-45,1,24.083769633507853
0.3,080119-46,1,18.75
0.3,080119-47,0,64.24870466321244
0.3,080119-48,0,63.35078534031413
0.3,080119-49,0,35.748792270531396
0.3,080119-55,1,52.816901408450704
0.3,101017-04,0,75.14792899408283
0.3,101017-07,1,47.8021978021978
0.3,101017-09,1,61.016949152542374
0.3,101017-11,1,43.02325581395349
0.3,101017-12,1,16.41025641025641
0.3,101017-15,0,52.27272727272727
0.3,101017-16,0,77.05882352941177
0.3,101017-17,1,56.97674418604651
0.3,101017-18,0,38.20754716981132
0.3,101017-19,1,52.41379310344828
0.3,101017-21,1,33.33333333333333
0.3,101017-24,1,26.519337016574585
0.3,101017-26,0,79.61783439490446
0.35,080119-07,1,41.77777777777778
0.35,080119-10,1,53.73134328358209
0.35,080119-25,0,73.80952380952381
0.35,080119-39,1,63.52201257861635
0.35,080119-44,1,48.64864864864865
0.35,080119-45,1,21.98952879581152
0.35,080119-46,1,5.357142857142857
0.35,080119-47,0,63.212435233160626
0.35,080119-48,0,63.87434554973822
0.35,080119-49,0,30.434782608695656
0.35,080119-55,1,51.40845070422535
0.35,101017-04,0,75.7396449704142
0.35,101017-07,1,47.8021978021978
0.35,101017-09,1,54.80225988700565
0.35,101017-11,1,31.3953488372093
0.35,101017-12,1,12.307692307692308
0.35,101017-15,0,38.63636363636363
0.35,101017-16,0,69.41176470588235
0.35,101017-17,1,41.86046511627907
0.35,101017-18,0,35.84905660377358
0.35,101017-19,1,40.689655172413794
0.35,101017-21,1,21.73913043478261
0.35,101017-24,1,9.392265193370166
0.35,101017-26,0,73.88535031847134
0.4,080119-07,1,28.888888888888886
0.4,080119-10,1,52.23880597014925
0.4,080119-25,0,70.95238095238095
0.4,080119-39,1,62.264150943396224
0.4,080119-44,1,45.94594594594595
0.4,080119-45,1,18.32460732984293
0.4,080119-46,1,0.0
0.4,080119-47,0,60.10362694300518
0.4,080119-48,0,63.87434554973822
0.4,080119-49,0,27.536231884057973
0.4,080119-55,1,49.29577464788733
0.4,101017-04,0,73.96449704142012
0.4,101017-07,1,41.75824175824176
0.4,101017-09,1,42.93785310734463
0.4,101017-11,1,22.674418604651162
0.4,101017-12,1,9.230769230769232
0.4,101017-15,0,26.136363636363637
0.4,101017-16,0,65.29411764705883
0.4,101017-17,1,32.55813953488372
0.4,101017-18,0,31.60377358490566
0.4,101017-19,1,26.89655172413793
0.4,101017-21,1,12.318840579710146
0.4,101017-24,1,4.41988950276243
0.4,101017-26,0,68.78980891719745
0.5,080119-07,1,1.7777777777777777
0.5,080119-10,1,44.02985074626866
0.5,080119-25,0,64.76190476190476
