slide,inst,rec@0.5,area,ecc,extent,axis_ratio
280120-08,29,1,15766,0.2607310486636115,0.7603568844948155,1.0358277518363233
280120-08,30,0,12826,0.542990624689554,0.7474358974358974,1.190846546746385
280120-08,31,1,9786,0.5199669550125624,0.773963935463461,1.1707046934747558
280120-08,32,1,9704,0.604532287492139,0.758125,1.255365686621301
280120-08,33,1,11799,0.7874623995082344,0.7351401869158879,1.6224213621399386
280120-08,34,1,10527,0.6309851053400259,0.784660107334526,1.2890004070265677
280120-08,35,0,17297,0.4355769132481388,0.7589066339066339,1.1109240851980735
280120-08,36,1,11386,0.2809672236535686,0.7776791202786695,1.0419734364056374
280120-08,37,1,11124,0.68227352377904,0.7410071942446043,1.3678075353190586
280120-08,38,1,12397,0.5205274575583956,0.7410927785748446,1.1711728486947497
280120-08,39,1,9747,0.430317332073158,0.7390249450299492,1.1078151396798577
280120-08,40,1,11146,0.6968825403576827,0.7510781671159029,1.394339829282086
280120-08,41,1,5887,0.7967929079218918,0.7109903381642512,1.6549373481287504
280120-08,42,1,13774,0.4132368819512096,0.7557750342935529,1.098148606154436
280120-08,43,1,9090,0.7943075400556018,0.7048697270471465,1.646047535622777
280120-08,44,0,10155,0.4849623516358472,0.6884745762711865,1.1434647744017052
280120-08,45,1,10090,0.53684344962331,0.8095964053598652,1.1852808819842633
280120-08,46,0,7994,0.9440402255945356,0.5342154504143277,3.031861784857675
280120-08,47,1,12426,0.8995344570381957,0.7503623188405797,2.289116227949165
280120-08,48,1,8636,0.4660871660509674,0.7763394462423588,1.1302770874123294
280120-08,49,1,9950,0.6474167437564298,0.7757074920090434,1.31210146378848
280120-08,50,1,13108,0.3174598138226665,0.7881192881192881,1.0545500539854409
280120-08,51,1,12267,0.5675693822010723,0.7204016913319239,1.214586349356137
280120-08,52,1,7776,0.7256148886578766,0.7465437788018433,1.453274955569019
280120-08,53,1,14043,0.3538201084068205,0.7488401855703087,1.0691602410149492
280120-08,54,1,8873,0.4870258689818043,0.7752730449978157,1.1449670953764028
280120-08,55,1,19607,0.8376753572251505,0.6287317620650954,1.8309368955158096
280120-08,56,1,11351,0.6746346553478219,0.7843421779988944,1.3547348908462378
280120-08,57,1,12342,0.6153724645560165,0.7846153846153846,1.268654826679855
280120-08,58,1,10139,0.712324133399308,0.7630766915029729,1.4248045592287004
280120-08,59,0,17523,0.6368478616927402,0.6752601156069364,1.2970345338991804
280120-08,60,1,13608,0.2576830010701798,0.6897810218978102,1.0349507927377806
280120-08,61,1,11584,0.6007095011892037,0.7182094364188728,1.2508327697677466
280120-08,62,0,10951,0.8915354552641265,0.6337384259259259,2.2077447365772884
280120-08,63,1,8759,0.7629006408066772,0.6655269356431882,1.5467527330605706
280120-08,64,1,9407,0.5621679707256967,0.7499800685641393,1.209156099465659
280120-08,65,1,12278,0.6673262616045708,0.710861509958314,1.3427045029080094
280120-08,66,1,22966,0.5002235929015278,0.5948199948199948,1.1548727372723495
280120-08,67,1,6942,0.5723861472373327,0.6615208690680389,1.2195356842413212
280120-08,68,0,17668,0.6029592693339152,0.7170454545454545,1.2534910161404689
280120-08,69,0,4520,0.909478236022656,0.7718579234972678,2.405282765561078
280120-08,70,1,11660,0.772469671293939,0.6631028207461328,1.574675050659643
280120-08,71,1,12628,0.713817445866102,0.7218887555022009,1.4278945717582257
280120-08,72,1,12861,0.670038048791701,0.7741061755146262,1.3471156622949494
280120-08,73,1,14484,0.5548779840933792,0.7758315924795115,1.202021692325402
280120-08,74,1,15106,0.7829449215440825,0.6801134572959344,1.6074817856051462
280120-08,75,1,16525,0.5325421147665844,0.7524360258628541,1.1814695853593724
280120-08,76,0,13393,0.7424030304593829,0.6307040263715564,1.492640827017106
280120-08,77,1,9084,0.5063736808506674,0.7537963654468509,1.1596701719675129
280120-08,78,1,11740,0.835600578031278,0.7828754334489197,1.8203745870401649
280120-08,79,0,13741,0.8213680826449175,0.6581569115815691,1.7531602258803984
280120-08,80,1,11675,0.6817696809856423,0.6754020594700914,1.366929019486589
280120-08,81,0,10184,0.5724731674601833,0.7729204614450516,1.2196260438040163
280120-08,82,1,10758,0.6735219822501548,0.7698583082868183,1.352873895473612
280120-08,83,1,11699,0.5419248780407465,0.754579463364293,1.1898714367246137
280120-08,84,0,6131,0.7052384087987592,0.6664130434782609,1.410496460859625
280120-08,85,1,10276,0.8531200028110318,0.6651132686084142,1.9167563039733164
280120-08,86,1,12754,0.627468697318364,0.7530703826169107,1.2842876089135724
280120-08,87,0,11062,0.5626448360926549,0.7472809565628589,1.2096305038372692
280120-08,88,1,7774,0.5189175744288023,0.6928698752228164,1.169831066485424
280120-08,89,0,13568,0.8553290267812926,0.8295426754707752,1.9301845227143797
280120-08,90,1,12410,0.793432262321129,0.6659869056563271,1.6429572545530269
280120-08,91,0,12600,0.561461344811603,0.6818181818181818,1.20845488345149
280120-08,92,1,9838,0.8647382737420491,0.6408285565398645,1.9911482422217244
280120-08,93,0,4644,0.6657759228776511,0.6865759905381431,1.34020996685267
280120-08,94,0,10617,0.3142283306821651,0.7756428988895383,1.0533551374276209
280120-08,95,0,8191,0.7652905098042094,0.6837799482427581,1.5535548163530113
280120-08,96,1,9361,0.7148637349167097,0.599142345110087,1.4300754907865485
280120-08,97,1,4893,0.8593274370478539,0.7339133043347833,1.9553178321450724
280120-08,98,1,9740,0.6947061869034745,0.6957142857142857,1.390252839953461
280120-08,99,0,19376,0.4925887546974736,0.7530509133307424,1.1490789620391844
280120-08,100,0,4458,0.4959888181261605,0.6795731707317073,1.151637347211089
280120-08,101,0,4115,0.8442480446257724,0.6814042059943699,1.8658364816042363
280120-08,102,1,12806,0.726507647070765,0.7462703962703963,1.455268580852371
280120-08,103,0,4213,0.8892558559290242,0.6067108294930875,2.186221827551964
280120-08,104,1,11282,0.5372903337028169,0.6771908763505402,1.185680740937682
280120-08,105,1,10422,0.4156863864556173,0.7559843319309444,1.0994955341275865
280120-08,106,1,12950,0.7674936205402765,0.6904825379898694,1.5599247035829178
280120-08,107,0,6539,0.8180016694522976,0.5171622904144259,1.7384778392950433
280120-08,108,0,10065,0.6321325801404566,0.7214019495412844,1.290555303253153
280120-08,109,1,11617,0.8063129347113548,0.6574419920769666,1.690647998327118
280120-08,110,0,10848,0.7868417845822726,0.7116242456048282,1.6203391012924206
280120-08,111,0,9923,0.5796528164892389,0.6317163228927934,1.2271993201379106
280120-09,1,1,13013,0.3255880599888114,0.7883799830364716,1.0576283481520454
280120-09,2,1,10469,0.6761283507174711,0.7669597069597069,1.3572501476397507
280120-09,3,1,10670,0.5288340404743732,0.7796857873584216,1.1782375918371286
280120-09,4,1,13596,0.2573961643009088,0.762962962962963,1.0348689111279747
280120-09,5,1,7537,0.4567774308613426,0.7537753775377538,1.1241247119802589
280120-09,6,1,9365,0.6647574791572016,0.8254010223867442,1.338581947919243
280120-09,7,1,12007,0.6364122236633639,0.7812479666861865,1.2964298008279005
280120-09,8,0,4647,0.8170042730823046,0.8071912454403335,1.7342094614159531
280120-09,9,1,10455,0.5144668631772297,0.7798165137614679,1.16616680426966
280120-09,10,1,9835,0.652091491952327,0.7489339019189766,1.3190171062942584
280120-09,11,1,9932,0.4238744278091401,0.7923414439569206,1.1040928020982907
280120-09,12,1,10045,0.4113219568105093,0.7669109787753856,1.097104590218568
280120-09,13,1,13048,0.4217281982887343,0.7722537878787878,1.1028735055378092
280120-09,14,1,9648,0.5839269836058214,0.7096204766107679,1.231821118949506
280120-09,15,1,8777,0.3164854481558176,0.7885893980233603,1.0541880430770376
280120-09,16,1,10211,0.6605610909900866,0.7700603318250377,1.3319617695295265
280120-09,17,1,11411,0.2540097404523243,0.785989805758369,1.033910549381542
280120-09,18,1,12309,0.7024720520484936,0.747631195335277,1.4050640463242796
280120-09,19,1,8282,0.7922462331193485,0.7890625,1.638802841883014
280120-09,20,1,10725,0.5418590307606178,0.7704741379310345,1.1898113307348273
280120-09,21,1,11233,0.3285534691842113,0.7612496611547845,1.058777647240888
280120-09,22,1,9994,0.6222321895943804,0.761447619047619,1.2774120781054277
280120-09,23,1,11580,0.1202160897503411,0.7844465519577293,1.0073052310691548
280120-09,24,1,11724,0.4051099465057901,0.7823301748298412,1.0937712209849504
280120-09,25,1,9288,0.5483273582571286,0.7793253901661352,1.1957949453585446
280120-09,26,1,10506,0.7527021346608112,0.758008658008658,1.518923000126822
280120-09,27,1,7689,0.2964400813638185,0.7540453074433657,1.047064005508128
280120-09,28,1,10693,0.7554029941096501,0.7135802469135802,1.5261106192392102
280120-09,29,1,12815,0.2769158892958472,0.7300330409023584,1.0406973418243923
280120-09,30,1,9930,0.3342856409325722,0.7709627329192547,1.061039694480405
280120-09,31,1,14614,0.3410381208522499,0.7844337090713902,1.0637738068726847
280120-09,32,1,8686,0.610803366123217,0.765353775663054,1.26297338323936
280120-09,33,1,15075,0.4013097427646892,0.7582997987927566,1.0917717029963097
280120-09,34,0,10265,0.7420854243054964,0.7645612989721436,1.4918574700745055
280120-09,35,1,8989,0.4705849145577048,0.7497080900750626,1.1333310585207754
280120-09,36,1,11468,0.4587736476235149,0.7846195949644226,1.125425051669535
280120-09,37,0,4137,0.8291112559940106,0.8484413453650533,1.7886411166205671
280120-09,38,0,10668,0.751176179479443,0.7454926624737945,1.5149179183116055
280120-09,39,1,11062,0.4667243490607533,0.784705965808328,1.1307064560070192
280120-09,40,0,10693,0.493085711580571,0.7839442815249267,1.1494507390841333
280120-09,41,1,10609,0.5641797178750421,0.755842120262183,1.211164007013598
280120-09,42,1,10208,0.6872414544957437,0.7715214269518554,1.3765969056915217
280120-09,43,1,11027,0.6312991426197223,0.7972093695777906,1.289425106901377
280120-09,44,1,11101,0.3249484215113745,0.7711169769380384,1.0573822978422869
280120-09,45,1,13779,0.4302898468671425,0.7299745708836618,1.1077990604072554
280120-09,46,1,10978,0.7628829573137982,0.7037179487179487,1.546702813282094
280120-09,47,1,9856,0.5673409793930062,0.7621404268481287,1.2143541860084537
280120-09,48,1,12095,0.1673313651977848,0.7806247579708274,1.014300920645065
280120-09,49,1,10658,0.3579469265876457,0.766321541558815,1.0709597207580164
280120-09,50,0,5273,0.8186579160771572,0.8213395638629284,1.7413063760467078
280120-09,51,1,11614,0.5102474606650755,0.755775362790395,1.1627533372893228
280120-09,52,1,9538,0.2157809204163719,0.7882644628099174,1.024126575761937
280120-09,53,1,13234,0.4892709806834538,0.7976133076181292,1.1466156602639166
280120-09,54,1,12212,0.7264506673826864,0.7753650793650794,1.4551410205379611
280120-09,55,0,9945,0.3996618167497748,0.7404511949966496,1.0909138591982943
280120-09,56,1,9271,0.8874008901728739,0.6311955337690632,2.169204235057015
