slide,inst,rec@0.5,area,ecc,extent,axis_ratio
280120-07,97,0,17436,0.6389402251563419,0.690124678408866,1.2999567077007976
280120-07,98,1,10994,0.5093542609179817,0.7587301587301587,1.1620381642816917
280120-07,99,1,10215,0.61146347368261,0.7526525198938993,1.2637868742819731
280120-07,100,1,10111,0.7587840587545279,0.6973103448275862,1.5352911159897382
280120-07,101,1,8546,0.5912639383828256,0.7722056564561308,1.2399592467640068
280120-07,102,1,6111,0.646217141347894,0.7344951923076923,1.3103522140410655
280120-07,103,0,13818,0.6628805568828484,0.7419060402684564,1.3356035719918835
280120-07,104,1,8664,0.3555682814789932,0.7861355593866255,1.0699188691588737
280120-07,105,1,11025,0.5686871912663286,0.7457386363636364,1.215725838145575
280120-07,106,1,11109,0.411501623492416,0.7657154673283706,1.0972022119127087
280120-07,107,0,11034,0.2970361168039023,0.77918226113975,1.0472670968577775
280120-07,108,1,10349,0.4752869810856228,0.6910389957264957,1.1365821341582296
280120-07,109,0,8876,0.4940926031629676,0.786461102250576,1.1502062616404702
280120-07,110,1,11961,0.8314472775331332,0.6155944415851775,1.7998441618654006
280120-07,111,1,9277,0.6428762943849469,0.8132012622720898,1.3055341267937912
280120-07,112,1,9753,0.4175379627652297,0.7376900385749944,1.1005222776872012
280120-07,113,1,8867,0.3853896062025337,0.7607893607893608,1.0837125113096282
280120-07,114,1,8672,0.5795380128158899,0.7329276538201488,1.227076361011671
280120-07,115,0,9029,0.4802953701379965,0.6845856395481082,1.1401119997813418
280120-07,116,1,9506,0.6418098362144239,0.7201515151515151,1.3040124733490064
280120-07,117,1,11035,0.495229811599558,0.7438490057296933,1.1510632210535583
280120-07,118,1,9647,0.4611244596499583,0.7521440823327615,1.1269694902322864
280120-07,119,0,10361,0.7795570548654942,0.6692720108520122,1.596599317922326
280120-07,120,1,9310,0.2920451277067318,0.7632398753894081,1.0455826573239455
280120-07,121,1,7837,0.4398272381516516,0.7463809523809524,1.1134835711048128
280120-07,122,1,9412,0.6194110396098084,0.7953354740577996,1.2737768712445514
280120-07,123,1,9871,0.6956660219878695,0.7331402257872847,1.392049311026652
280120-07,124,1,6875,0.7875396176548225,0.8276152642349826,1.622681118236037
280120-07,125,1,10160,0.579741838442261,0.7375145180023229,1.227294708275017
280120-07,126,0,6746,0.6475456561220865,0.7128064243448858,1.3122900533390387
280120-07,127,1,8766,0.2297781421519509,0.7801708793164828,1.0274925829676913
280120-07,128,1,9568,0.75248039106327,0.6734234234234234,1.5183385239584326
280120-07,129,0,4423,0.8001949378156012,0.6980744949494949,1.6673892161395147
280120-07,130,1,8697,0.4032011017772564,0.7751336898395722,1.0927631343267588
280120-07,131,1,8058,0.7785787115557959,0.6395238095238095,1.593506239452329
280120-07,132,0,6376,0.3610156692206508,0.677649059411202,1.072317350633153
280120-07,133,1,9979,0.3553311353498658,0.7884797724399494,1.0698156443971747
280120-07,134,1,8108,0.719278161062845,0.658277177884225,1.4394242885114727
280120-07,135,1,9563,0.5676488960627224,0.7777325959661678,1.2146672255656894
280120-07,136,1,9288,0.5654745425656432,0.7676033057851239,1.2124654794252128
280120-07,137,1,8866,0.6588559367682507,0.7268404656501066,1.3293114800606691
280120-07,138,1,8276,0.7554937142486475,0.6586025783861212,1.5263542715452387
280120-07,139,1,9688,0.4386454403957027,0.8081414748081415,1.1127676356814105
280120-07,140,1,7704,0.7051002480764039,0.816967126193001,1.410223143154847
280120-07,141,0,7722,0.3642987910655255,0.7886029411764706,1.0737884646719893
280120-07,142,1,8982,0.7123001417042375,0.7068544896513732,1.4247551310547562
280120-07,143,1,9612,0.604678926482202,0.7424113694292114,1.2555411245229957
280120-07,144,1,8373,0.7350919017541708,0.7223084886128365,1.474997014106417
280120-07,145,1,8534,0.3939844036738269,0.7182897062536824,1.0880006178597366
280120-07,146,0,7562,0.5799874247175487,0.7799092409240924,1.2275580484134854
280120-07,147,1,9017,0.7325154504837567,0.6139025054466231,1.46896717459088
280120-07,148,0,6586,0.82064937251738,0.7740039957691855,1.749989294366341
280120-07,149,1,8391,0.5426918976876642,0.8103331723804925,1.1905727899186769
280120-07,150,0,8090,0.6291901244780769,0.6510542411073555,1.2865849580898694
280120-07,151,1,9312,0.7040546628155245,0.6810502450084107,1.4081615708664683
280120-07,152,1,7730,0.8605879776386475,0.7265037593984962,1.96347231081687
